id,name,matchType,status,venue,match_date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded,match_number
71666b6c-a6f9-4e09-a9d9-7f3ddca832d6,"Gujarat Titans vs Delhi Capitals, 35th Match",t20,Gujarat Titans won by 7 wkts,"Narendra Modi Stadium, Ahmedabad",4/19/2025,2025-04-19T10:00:00,"['Gujarat Titans', 'Delhi Capitals']",TRUE,TRUE,TRUE,TRUE,TRUE,35th Match
a007a070-6120-4e37-8bf9-c9582801a20b,"Rajasthan Royals vs Lucknow Super Giants, 36th Match",t20,Lucknow Super Giants won by 2 runs,"Sawai Mansingh Stadium, Jaipur",4/19/2025,2025-04-19T14:00:00,"['Rajasthan Royals', 'Lucknow Super Giants']",TRUE,TRUE,TRUE,TRUE,TRUE,36th Match
4ace6d56-2e54-473e-a3c1-8bfcd06da6e2,"Punjab Kings vs Royal Challengers Bengaluru, 37th Match",t20,Royal Challengers Bengaluru won by 7 wkts,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",4/20/2025,2025-04-20T10:00:00,"['Punjab Kings', 'Royal Challengers Bengaluru']",TRUE,TRUE,TRUE,TRUE,TRUE,37th Match
01244c3f-ce16-42a7-bcee-31d75fcdfb4e,"Mumbai Indians vs Chennai Super Kings, 38th Match",t20,Mumbai Indians won by 9 wkts,"Wankhede Stadium, Mumbai",4/20/2025,2025-04-20T14:00:00,"['Mumbai Indians', 'Chennai Super Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,38th Match
a62d133e-9370-4575-b649-9415fea63aab,"Kolkata Knight Riders vs Gujarat Titans, 39th Match",t20,Gujarat Titans won by 39 runs,"Eden Gardens, Kolkata",4/21/2025,2025-04-21T14:00:00,"['Kolkata Knight Riders', 'Gujarat Titans']",TRUE,TRUE,TRUE,TRUE,TRUE,39th Match
47fd62f1-ca48-4c9c-9ded-0d2fcb5a64df,"Lucknow Super Giants vs Delhi Capitals, 40th Match",t20,Delhi Capitals won by 8 wkts,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4/22/2025,2025-04-22T14:00:00,"['Lucknow Super Giants', 'Delhi Capitals']",TRUE,TRUE,TRUE,TRUE,TRUE,40th Match
cec210ca-9184-43d3-9664-5ff0cbce7cd0,"Sunrisers Hyderabad vs Mumbai Indians, 41st Match",t20,Mumbai Indians won by 7 wkts,"Rajiv Gandhi International Stadium, Hyderabad",4/23/2025,2025-04-23T14:00:00,"['Sunrisers Hyderabad', 'Mumbai Indians']",TRUE,TRUE,TRUE,TRUE,TRUE,41st Match
9c1e5e4c-b72e-4db2-b2be-df9b4d27f539,"Royal Challengers Bengaluru vs Rajasthan Royals, 42nd Match",t20,Royal Challengers Bengaluru won by 11 runs,"M.Chinnaswamy Stadium, Bengaluru",4/24/2025,2025-04-24T14:00:00,"['Royal Challengers Bengaluru', 'Rajasthan Royals']",TRUE,TRUE,TRUE,TRUE,TRUE,42nd Match
92d38459-52b6-40a9-8508-f3dd2692a0bf,"Chennai Super Kings vs Sunrisers Hyderabad, 43rd Match",t20,Sunrisers Hyderabad won by 5 wkts,"MA Chidambaram Stadium, Chennai",4/25/2025,2025-04-25T14:00:00,"['Chennai Super Kings', 'Sunrisers Hyderabad']",TRUE,TRUE,TRUE,TRUE,TRUE,43rd Match
3683354f-3c17-4346-9236-8d2bc474e7a5,"Kolkata Knight Riders vs Punjab Kings, 44th Match",t20,No result due to rain,"Eden Gardens, Kolkata",4/26/2025,2025-04-26T14:00:00,"['Kolkata Knight Riders', 'Punjab Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,44th Match
eae7163d-b06c-41df-95fb-835fd5b9798b,"Mumbai Indians vs Lucknow Super Giants, 45th Match",t20,Mumbai Indians won by 54 runs,"Wankhede Stadium, Mumbai",4/27/2025,2025-04-27T10:00:00,"['Mumbai Indians', 'Lucknow Super Giants']",TRUE,TRUE,TRUE,TRUE,TRUE,45th Match
04e8d307-7acd-4c3d-8117-b92ced6c583a,"Delhi Capitals vs Royal Challengers Bengaluru, 46th Match",t20,Royal Challengers Bengaluru won by 6 wkts,"Arun Jaitley Stadium, Delhi",4/27/2025,2025-04-27T14:00:00,"['Delhi Capitals', 'Royal Challengers Bengaluru']",TRUE,TRUE,TRUE,TRUE,TRUE,46th Match
32450f41-24d3-463a-9d37-e6df114b43df,"Rajasthan Royals vs Gujarat Titans, 47th Match",t20,Rajasthan Royals won by 8 wkts,"Sawai Mansingh Stadium, Jaipur",4/28/2025,2025-04-28T14:00:00,"['Rajasthan Royals', 'Gujarat Titans']",TRUE,TRUE,TRUE,TRUE,TRUE,47th Match
fa06c479-3015-4e58-b37c-9c6c076fab14,"Delhi Capitals vs Kolkata Knight Riders, 48th Match",t20,Kolkata Knight Riders won by 14 runs,"Arun Jaitley Stadium, Delhi",4/29/2025,2025-04-29T14:00:00,"['Delhi Capitals', 'Kolkata Knight Riders']",TRUE,TRUE,TRUE,TRUE,TRUE,48th Match
9b3be8ba-8302-4051-87a8-9022037b9a84,"Chennai Super Kings vs Punjab Kings, 49th Match",t20,Punjab Kings won by 4 wkts,"MA Chidambaram Stadium, Chennai",4/30/2025,2025-04-30T14:00:00,"['Chennai Super Kings', 'Punjab Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,49th Match
d0b375d6-eb90-48f9-b8a3-37647a418ea2,"Rajasthan Royals vs Mumbai Indians, 50th Match",t20,Mumbai Indians won by 100 runs,"Sawai Mansingh Stadium, Jaipur",5/1/2025,2025-05-01T14:00:00,"['Rajasthan Royals', 'Mumbai Indians']",TRUE,TRUE,TRUE,TRUE,TRUE,50th Match
1a4b354c-8692-44d0-9b52-562da45bcce9,"Gujarat Titans vs Sunrisers Hyderabad, 51st Match",t20,Gujarat Titans won by 38 runs,"Narendra Modi Stadium, Ahmedabad",5/2/2025,2025-05-02T14:00:00,"['Gujarat Titans', 'Sunrisers Hyderabad']",TRUE,TRUE,TRUE,TRUE,TRUE,51st Match
48e77e32-3016-4f17-9c99-a5663c5eb3e6,"Royal Challengers Bengaluru vs Chennai Super Kings, 52nd Match",t20,Royal Challengers Bengaluru won by 2 runs,"M.Chinnaswamy Stadium, Bengaluru",5/3/2025,2025-05-03T14:00:00,"['Royal Challengers Bengaluru', 'Chennai Super Kings']",TRUE,TRUE,TRUE,TRUE,TRUE,52nd Match
